"","2305","11004","Sample","Age"
"1",7.01122725542325,5.93545974780529,"GSM3124560",1
"2",6.06371864015225,4.80012335282653,"GSM3124561",12
"3",7.05202456048283,6.61485705038449,"GSM3124562",24
"4",6.28206907519813,5.74523733212975,"GSM3124563",25
"5",6.20496233054251,5.78764141448333,"GSM3124564",25
"6",6.97498811199193,5.85798099512757,"GSM3124565",26
"7",7.02347715183043,6.61970645004589,"GSM3124566",26
"8",6.74550626586916,6.03320272593722,"GSM3124567",28
"9",6.98185265328974,6.47102483906676,"GSM3124568",29
"10",6.55228483994351,6.24222139509837,"GSM3124569",29
"11",7.29553937040683,6.68509917200661,"GSM3124570",30
"12",7.00225245173138,6.29829173062012,"GSM3124571",30
"13",6.5470487505718,6.083000565676,"GSM3124572",30
"14",6.90689059560852,6.00427665587793,"GSM3124573",30
"15",6.26472407423801,4.97498811199193,"GSM3124574",43
"16",5.53231695933277,4.09845324630927,"GSM3124575",44
"17",6.5795422249369,5.01925711868108,"GSM3124576",41
"18",6.5076360935706,6.11144869848767,"GSM3124577",47
"19",4.37503943134692,2.78366618090783,"GSM3124578",50
"20",5.72301239639237,4.19377174339668,"GSM3124579",46
"21",6.67666233485797,6.06112813511825,"GSM3124580",50
"22",6.74011804283313,6.32481060342048,"GSM3124581",42
"23",6.71836162613835,5.43929068104202,"GSM3124582",47
"24",4.62527048937469,3.58135124716878,"GSM3124583",41
"25",7.09381367340273,6.47751543618424,"GSM3124584",43
"26",6.71561885907482,6.33324481699638,"GSM3124585",44
"27",7.07681559705083,6.76420813013995,"GSM3124586",45
"28",5.36562255611334,3.88068552526112,"GSM3124587",46
"29",7.09697863637054,6.57425291650018,"GSM3124588",46
"30",7.25266543245025,6.80348537559595,"GSM3124589",47
"31",6.25776496857139,5.83970769835037,"GSM3124590",61
"32",6.0706039986813,5.84924870276441,"GSM3124591",62
"33",6.81890167588564,6.25964912064916,"GSM3124592",62
"34",7.3671963100259,6.76022094646651,"GSM3124593",63
"35",4.93498820178348,3.69710657447697,"GSM3124594",64
"36",6.12845838414693,5.59365255839793,"GSM3124595",66
"37",6.63255905211795,5.89530262133331,"GSM3124596",67
"38",6.77610398807316,6.21237478756727,"GSM3124597",67
"39",7.10747864662662,6.67948009950545,"GSM3124598",68
"40",6.55489577541901,6.05809998849341,"GSM3124599",68
"41",4.99186193055632,3.85399564717639,"GSM3124600",69
"42",5.70873904135958,5.24982454861618,"GSM3124601",69
"43",6.92481250360578,6.14016513459945,"GSM3124602",83
"44",7.39917109381982,6.40616247877761,"GSM3124603",83
"45",7.06608919045777,6.24773767265893,"GSM3124604",83
"46",6.15035658020834,5.38370429247405,"GSM3124605",84
"47",5.28318097894557,4.67919857056692,"GSM3124606",84
"48",7.18586654531133,6.41599522099608,"GSM3124607",84
"49",7.31650781910311,6.26959425168337,"GSM3124608",84
"50",7.38024459047818,6.47167521439204,"GSM3124609",84
"51",6.01502470527315,5.19534759832222,"GSM3124610",84
"52",7.30742852519225,6.50287157457414,"GSM3124611",84
"53",4.48928602262588,2.70287913851321,"GSM3124612",86
"54",4.76765479823735,3.05658352836637,"GSM3124613",86
"55",4.54039930563062,2.51298533481368,"GSM3124614",86
"56",4.90689059560852,3.00018032561,"GSM3124615",87
"57",4.81762325751143,2.93602539966154,"GSM3124616",87
"58",4.78188423454149,2.80136562762277,"GSM3124617",87
"59",5.22689381357139,3.75167794568758,"GSM3124618",87
"60",5.91934008244201,5.02147972741045,"GSM3124619",88
"61",5.141187525005,3.36190869257824,"GSM3124620",89
"62",4.74254523386605,3.11069731654493,"GSM3124621",90
"63",5.95628902658394,4.52230689287139,"GSM3124622",91
"64",4.32192809488736,2.91838623444635,"GSM3124623",92
"65",4.5197934862411,3.06626144226872,"GSM3124624",96
"66",7.25833047261243,6.29755828116819,"GSM3124625",1
"67",6.25096157353322,5.90014226035982,"GSM3124626",2
"68",7.02790599656988,6.56529252058102,"GSM3124627",3
"69",7.08214904135387,6.5552026338783,"GSM3124628",3
"70",5.68060566620259,5.35543919724869,"GSM3124629",5
"71",6.8592241619782,6.82017896241519,"GSM3124630",6
"72",7.44294349584873,7.3019533951261,"GSM3124631",7
"73",6.41379715018921,6.00202736474428,"GSM3124632",7
"74",5.18784690943957,4.01703108052784,"GSM3124633",8
"75",5.46988597627446,4.84599177066457,"GSM3124634",8
"76",6.69766263347052,5.48510476108097,"GSM3124635",9
"77",6.21684284283726,5.63517394667492,"GSM3124636",10
"78",6.86418614465428,6.58766502110098,"GSM3124637",10
"79",6.48123434952853,5.88752527074159,"GSM3124638",11
"80",5.80167602925359,5.41953889151378,"GSM3124639",11
"81",6.52230689287139,6.12804589092299,"GSM3124640",12
"82",6.94016675048282,6.81762325751143,"GSM3124641",13
"83",6.66959375118833,6.64875303298957,"GSM3124642",16
"84",6.74685018309805,6.161686174584,"GSM3124643",17
"85",6.77346892790519,5.56224242422107,"GSM3124644",17
"86",6.59753117422421,5.61176256006487,"GSM3124645",19
"87",6.09423606984577,5.63284983011771,"GSM3124646",19
"88",6.3271484082987,5.58796498888268,"GSM3124647",19
"89",6.41244282477561,5.78607355157855,"GSM3124648",19
