"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR","HALLMARK_DNA_REPAIR",135,0.314090719662665,0.964894176758368,0.568648648648649,0.721160184574819,0.516198868958818,3443,"tags=29%, list=26%, signal=21%","BCAM/ZWINT/PRIM1/TYMS/HCLS1/RFC3/RAD51/FEN1/RFC4/CDA/POLD1/POLA2/RAD52/LIG1/XPC/POLA1/UPF3B/TARBP2/POLL/PDE4B/SSRP1/NME1/SF3A3/GTF2F1/RFC2/ALYREF/POLE4/AAAS/DGUOK/CSTF3/POLR1C/POLD3/NME4/REV3L/NUDT21/SNAPC4/PCNA/NT5C/IMPDH2"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",125,0.314791951502275,0.959369981003547,0.554951033732318,0.721160184574819,0.516198868958818,1008,"tags=15%, list=8%, signal=14%","EREG/ST6GAL1/RELN/PTGS2/GALNT3/F2RL1/SCG5/AKAP12/VWA5A/SEMA3B/ITGA2/MALL/G0S2/PLAU/DOCK2/BMP2/EPHB2/MMP11/SNAP25"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",135,0.309588012155397,0.951061751979706,0.591351351351351,0.721160184574819,0.516198868958818,1325,"tags=16%, list=10%, signal=15%","EREG/KRT18/TOP2A/NEFH/HGF/CASP1/PMAIP1/IL18/GSTM1/CDC25B/BMP2/F2R/ISG20/BRCA1/HMGB2/BMF/CDKN1B/GCH1/PPT1/SOD2/DDIT3/CDK2"
"HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEDGEHOG_SIGNALING",22,0.387117074164457,0.932004358149085,0.566145092460882,0.721160184574819,0.516198868958818,1871,"tags=27%, list=14%, signal=23%","L1CAM/TLE1/GLI1/ETS2/PTCH1/DPYSL2"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",28,0.35720256208189,0.909997247746322,0.587365591397849,0.721160184574819,0.516198868958818,1885,"tags=21%, list=14%, signal=18%","DLL1/WNT2/FZD5/JAG1/DTX4/ARRB1"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",132,0.29339298847378,0.899774241327623,0.666666666666667,0.784805694946902,0.561755655330414,1345,"tags=17%, list=10%, signal=15%","ERAP2/CPM/APOC1/C3/C2/PSMB9/LYN/CASP1/RASGRP1/GCA/GNG2/CXCL1/GATA3/CTSC/CDA/DUSP5/CTSH/PRSS3/DOCK10/APOBEC3G/APOBEC3F/PLA2G4A"
"HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION","HALLMARK_PROTEIN_SECRETION",90,0.297083888941497,0.879447826928551,0.676104190260476,0.784805694946902,0.561755655330414,956,"tags=6%, list=7%, signal=5%","SH3GL2/TPD52/KRT18/ATP6V1B1/CTSC"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",41,0.314967789859787,0.844641369848138,0.690629011553273,0.784805694946902,0.561755655330414,2317,"tags=17%, list=18%, signal=14%","HHEX/FES/NQO1/SOD2/G6PD/GSR/GLRX"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_CHOLESTEROL_HOMEOSTASIS",63,0.293875606902089,0.837143254919038,0.735154394299287,0.799080863368791,0.571973670621871,1824,"tags=17%, list=14%, signal=15%","PPARG/TM7SF2/FABP5/SEMA3B/CD9/CXCL16/JAG1/TMEM97/HSD17B7/MVK/CHKA"
"HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE","HALLMARK_APICAL_SURFACE",29,0.319346693925172,0.81811726653113,0.720372836218375,0.799080863368791,0.571973670621871,1418,"tags=21%, list=11%, signal=18%","GAS1/LYN/SULF2/GATA3/BRCA1/FLOT2"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",171,0.26075692883764,0.812746728279307,0.83105981112277,0.8841061820455,0.632833898727305,1646,"tags=14%, list=13%, signal=12%","ITIH5/PPARG/UCP2/C3/FZD4/CDKN2C/SOWAHC/LIPE/MYLK/PEMT/SNCG/EPHX2/NABP1/SCARB1/GPHN/UQCRC1/STOM/ENPP2/TKT/PIM3/COQ3/PPP1R15B/FAH/SLC25A10"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",182,0.235275197163749,0.736520137872823,0.915537017726799,0.934221446659999,0.668705877609262,1348,"tags=10%, list=10%, signal=9%","CORO1A/PLK1/RRM2/AURKA/BUB1/TM7SF2/CCNF/CD9/CDC25A/MCM2/SLC6A6/IGFBP5/CTSC/SORD/MCM4/DHCR24/DDIT3/TMEM97"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PI3K_AKT_MTOR_SIGNALING",87,0.245534363560199,0.72444117992722,0.898633257403189,0.934221446659999,0.668705877609262,1985,"tags=11%, list=15%, signal=10%","RPS6KA1/CDK1/PRKAA2/E2F1/CDKN1B/DDIT3/CDK2/PPP2R1B/MYD88/ARHGDIA"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",180,-0.105909994214598,-0.46782125421562,1,1,0.715789473684211,11391,"tags=29%, list=88%, signal=4%","ECI1/ATP6V0C/ATP6V1G1/TIMM17A/NDUFB5/MPC1/TIMM8B/UQCRQ/PMPCA/ACAA2/NDUFA2/GRPEL1/NDUFA8/OAT/ATP6V1H/HADHA/VDAC1/SDHC/NDUFB4/COX7A2L/SURF1/COX6C/COX6A1/OGDH/ECH1/TIMM9/SLC25A4/SUCLA2/ATP6V1E1/VDAC2/UQCR11/HCCS/HSPA9/NDUFAB1/ATP6V0E1/MGST3/MTX2/LDHA/RHOT1/NQO2/COX17/ISCU/HTRA2/ATP6AP1/NDUFA4/RETSAT/PHYH/ATP1B1/NDUFC1/MRPL34/ALDH6A1/PDK4"
