"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP",125,-0.33901592088529,-1.38341672171886,0.00762292450842387,0.0293189404170149,0.0191344663774202,1820,"tags=34%, list=14%, signal=30%","CSF2RA/PTCD2/LY96/ANKH/BPGM/PLAUR/RBP4/ANXA10/MAFB/ACE/HDAC9/ID2/ENG/ETV5/KLF4/CFB/LIF/SPRY2/TSPAN1/SOX9/NGF/EMP1/TNFRSF1B/TRIB2/CFH/PRKG2/GFPT2/MAP7/HBEGF/TFPI/IGFBP3/TNFAIP3/PLAT/GPNMB/SATB1/INHBA/ITGBL1/ANGPTL4/SPP1/CCND2/ITGB2/CPE/SERPINA3"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",155,-0.319004233176679,-1.34273874057242,0.00882126728561835,0.0315045260200655,0.0205608485604638,2076,"tags=30%, list=16%, signal=26%","B4GALT4/MPI/PPP2CB/SRD5A3/ABCB6/GFPT1/PGLS/TPI1/SLC16A3/SDC2/TPST1/PLOD1/QSOX1/GYS1/EFNA3/PGK1/HOMER1/P4HA2/IRS2/B4GALT1/COL5A1/SOX9/IDUA/STC2/GCLC/FAM162A/VLDLR/SPAG4/DCN/PAM/IER3/IGFBP3/CHPF/P4HA1/HK2/RRAGD/STC1/PLOD2/TGFBI/MXI1/ENO2/PPFIA4/ANGPTL4/GPC4/AK4/VEGFA/VCAN"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",56,0.553017623082879,1.61544136166055,0.0129700441583574,0.040531387994867,0.0264520637440185,3444,"tags=50%, list=26%, signal=37%","PLK1/PLK4/MCM5/UTP20/DUSP2/SORD/MCM4/TMEM97/DCTPP1/NOC4L/NPM1/RRP9/SLC19A1/PRMT3/IMP4/NOLC1/LAS1L/WDR74/FARSA/RRP12/HSPD1/PUS1/IPO4/TCOF1/PA2G4/HSPE1/MYBBP1A/GRWD1"
"HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_JUNCTION",151,-0.315475766895914,-1.32037826396807,0.0123497188866089,0.040531387994867,0.0264520637440185,1335,"tags=21%, list=10%, signal=19%","TSPAN4/THBS3/TMEM8B/SKAP2/BMP1/RRAS/ATP1A3/B4GALT1/NEGR1/PKD1/AMH/SHROOM2/MMP2/CERCAM/INSIG1/PARD6G/FBN1/ARHGEF6/CDH6/ADAM23/ICAM2/PCDH1/TGFBI/LAMC2/CDH15/CDH8/ITGA9/VCAN/CLDN11/CALB2/NRXN2/ADAMTS5"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",132,-0.325817622507233,-1.34170556309161,0.020876495870111,0.0614014584415029,0.0400725307723493,2003,"tags=31%, list=15%, signal=27%","PPP2CB/STX4/LAMP2/GNB4/RHOG/S100A13/PRCP/ANXA5/MMP15/CD46/SERPING1/PLAUR/CASP10/PLA2G4A/TIMP2/LRP1/C1S/CFB/CBLB/LGMN/F10/CFH/F3/CTSD/MAFF/ZFPM2/CDH13/TNFAIP3/SERPINE1/TIMP1/PLAT/CD55/CPQ/IL6/TFPI2/DPP4/SERPINB2/FN1/FYN/CD36/PCSK9"
"HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TGF_BETA_SIGNALING",51,-0.417081452413005,-1.46882605254779,0.0301888389752672,0.0794443130928085,0.0518478674921487,4051,"tags=63%, list=31%, signal=43%","TGIF1/PPM1A/TJP1/XIAP/BMPR1A/FKBP1A/ID3/RHOA/WWTR1/JUNB/APC/SKI/ACVR1/MAP3K7/FNTA/BCAR3/SLC20A1/HIPK2/RAB31/SMURF2/THBS1/ID2/ENG/SPTBN1/PMEPA1/SMAD7/IFNGR2/SKIL/TGFBR1/SERPINE1/KLF10/LTBP2"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",150,-0.292716450065593,-1.22082579851854,0.0296227122148542,0.0794443130928085,0.0518478674921487,2914,"tags=33%, list=22%, signal=26%","TFRC/UBAC1/RAD23A/YPEL5/MGST3/TMEM9B/GAPVD1/UROS/OPTN/DCUN1D1/KLF3/NR3C1/CLCN3/ASNS/SDCBP/LAMP2/ADD2/RCL1/HTRA2/ABCB6/HAGH/SIDT2/SLC2A1/PGLS/OSBP2/ADIPOR1/NARF/BPGM/MBOAT2/RIOK3/ATP6V0A1/TCEA1/FTCD/BACH1/SLC6A9/NFE2L1/CLIC2/BNIP3L/P4HA2/ERMAP/CDR2/TRIM58/NEK7/GCLC/ALDH6A1/PPP2R5B/SLC7A11/MXI1/RHCE/SNCA"
"HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS","HALLMARK_ANGIOGENESIS",30,-0.46990551788081,-1.45648669152509,0.0514825236684692,0.128706309171173,0.0839978017748708,1794,"tags=43%, list=14%, signal=37%","S100A4/ITGAV/FSTL1/COL3A1/LUM/APP/TIMP1/POSTN/STC1/SPP1/CCND2/VEGFA/VCAN"
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",132,0.395207061225537,1.28804639530825,0.0828402366863905,0.19723865877712,0.128724177307173,1347,"tags=23%, list=10%, signal=21%","CDC20/KIF20A/MAPT/TOP2A/PRKAR2B/GINS2/FKBP5/PLK4/SLC2A8/FABP5/SEMA3B/CD9/CDC6/XRCC3/KRT19/DUSP2/ISG20/GALE/RNASEH2A/CELSR2/CISH/EMP2/SORD/ST6GALNAC2/HR/SCARB1/STIL/GAL/CXCL12/PRLR/IGFBP4"
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS",135,-0.274151311920817,-1.12930091389079,0.1625,0.369318181818182,0.241028708133971,1329,"tags=22%, list=10%, signal=20%","TIMP2/GADD45A/GPX3/TXNIP/BNIP3L/BCL10/SMAD7/CDKN1A/CAV1/EMP1/PPP2R5B/GADD45B/IGFBP6/HMOX1/DCN/IER3/MMP2/LUM/APP/TIMP1/PLAT/TIMP3/SAT1/EGR3/GSTM1/IL6/TGFB2/SATB1/ENO2/CCND2"
