"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP",127,-0.397755173802966,-1.35478656622381,0.0451977401129944,0.0903954802259887,0.047576568539994,1138,"tags=20%, list=9%, signal=18%","EPHX1/BCL2L11/NFKBIA/SOD2/BTG2/CREG1/HSPA2/RRAD/FOSB/MAPK8IP2/ASNS/GCH1/JUNB/PTPRD/HLA-F/IRF1/IGFBP2/IL6ST/IL6/RASGRP1/NTRK3/ATF3/ICAM1/FOS/CXCL2"
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY",170,-0.367455343491596,-1.28710834805664,0.0630434782608696,0.12123745819398,0.0638091885231473,1924,"tags=24%, list=15%, signal=20%","F2R/XPC/BTG1/NOL8/ISCU/PTPN14/EPHX1/S100A10/NDRG1/IER3/CYFIP2/VAMP8/STOM/TRIB3/MKNK2/ABHD4/BTG2/ANKRA2/INHBB/HSPA4L/SLC7A11/CTSF/RRAD/JUN/DRAM1/NUPR1/PVT1/JAG2/TPD52L1/TXNIP/PTPRE/CD82/IL1A/VWA5A/DDIT4/ITGB4/ATF3/CASP1/FOS/FGF13"
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",168,-0.368240596996355,-1.28794104183328,0.0676117775354417,0.125206995436003,0.0658984186505279,3425,"tags=31%, list=27%, signal=23%","ADCY6/ECH1/SCP2/RIOK3/POR/MAP4K3/PHYH/PFKL/GHITM/DHRS7/COL4A1/MCCC1/SCARB1/DRAM2/NDUFB7/BCL2L13/PGM1/DHRS7B/DGAT1/COQ5/LPCAT3/DDT/AGPAT3/IFNGR1/UQCR11/CMBL/NDUFA5/DNAJC15/VEGFB/CCNG2/CAT/DBT/ALDOA/PDCD4/SLC1A5/ACADS/ITGA7/ALDH2/STOM/BCL6/SLC27A1/GPX4/PPARG/SSPN/CD36/STAT5A/LAMA4/ENPP2/COL15A1/ABCA1/LEP/C3"
"HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANDROGEN_RESPONSE",82,0.311221398885585,1.28204598077026,0.0915522906367273,0.16348623327987,0.0860453859367738,2400,"tags=37%, list=19%, signal=30%","HOMER2/KRT19/INSIG1/DHCR24/UAP1/PMEPA1/SLC26A2/CCND1/CENPN/CCND3/ELL2/CDK6/BMPR1B/PDLIM5/RRP12/STK39/PA2G4/HMGCR/SCD/GPD1L/ADRM1/DNAJB9/LMAN1/ABCC4/SMS/HMGCS1/GSR/ELOVL5/IDI1/UBE2J1"
"HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",132,-0.367714461356458,-1.25423715791833,0.10472972972973,0.180568499534017,0.0950360523863246,1663,"tags=18%, list=13%, signal=16%","SLC1A5/ALDH2/EPHX1/CYFIP2/IGFBP1/CYB5A/CYP27A1/PROS1/CD36/GCH1/IGFBP4/ABCC3/SLC6A6/F10/PTGES/GSTM4/PDK4/PTGDS/CYP2E1/AKR1C3/IL1R1/CFB/FBLN1/VTN"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",146,-0.348019563418763,-1.20508517269883,0.155629139072848,0.259381898454746,0.136516788660393,1902,"tags=25%, list=15%, signal=21%","NRIP1/FOXC1/CISH/RPS6KA2/GAB2/ADCY9/SVIL/RARA/KRT8/TGIF2/UGCG/KRT18/ALDH3B1/INHBB/BCL2/NAV2/RHOBTB3/PGR/HES1/ASB13/IGFBP4/MUC1/FRK/SYNGR1/PTGES/TPD52L1/ANXA9/IL6ST/SEMA3B/DHRS3/RASGRP1/DEPTOR/KCNK15/HR/ELOVL2/FOS"
"HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS","HALLMARK_GLYCOLYSIS",155,0.241593948115139,1.07640303676973,0.204155042128821,0.329282326014228,0.173306487375909,2070,"tags=23%, list=16%, signal=20%","SOX9/MET/TGFA/GCLC/SDC1/EXT2/AURKA/FUT8/PRPS1/GALK2/CDK1/TGFBI/CENPA/KDELR3/SLC25A10/PKM/SLC25A13/PFKP/STC1/CD44/PSMC4/FKBP4/GALE/MDH2/MED24/RPE/CLN6/GMPPB/POLR3K/BPNT1/HSPA5/PPIA/P4HA2/XYLT2/NT5E/DEPDC1"
"HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING","HALLMARK_NOTCH_SIGNALING",28,-0.442656430363142,-1.20231319192747,0.218259629101284,0.341030670470756,0.179489826563556,3434,"tags=50%, list=27%, signal=36%","FBXW11/PSENEN/ARRB1/SAP30/NOTCH3/NOTCH1/WNT5A/FZD5/DLL1/DTX4/TCF7L2/HES1/JAG1/WNT2"
"HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PANCREAS_BETA_CELLS",13,-0.53588343120341,-1.22372356486243,0.235104669887279,0.345742161598939,0.181969558736284,1360,"tags=23%, list=11%, signal=21%","FOXO1/DPP4/PCSK1"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM",145,-0.330130685833488,-1.14291276232667,0.231788079470199,0.345742161598939,0.181969558736284,3151,"tags=28%, list=25%, signal=21%","SLC22A4/KLF3/RBM38/BSG/UROS/TCEA1/LPIN2/LAMP2/NFE2L1/RCL1/ACP5/CTSB/TFDP2/SDCBP/TRAK2/RNF123/MKRN1/CAT/ALDH6A1/CCDC28A/HEBP1/EZH1/DAAM1/NCOA4/ERMAP/BNIP3L/BMP2K/BACH1/BTG2/GYPC/SLC7A11/ANK1/ASNS/MXI1/BCAM/MOCOS/SELENBP1/ABCG2/SLC6A9/C3"
