"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","log10padj","gene"
"A2M",35.3294335126659,0.898715344708489,0.521143196011946,1.72450748966103,0.0846162680520748,0.223569006609688,0.65058840289359,"A2M"
"A4GALT",351.335039138878,-0.394582954191585,0.197703832641383,-1.99582855284006,0.0459525877365089,0.14502054860154,0.838570456303101,"A4GALT"
"AAAS",192.788500706828,0.426863854212916,0.135373463955007,3.15323137741965,0.00161473764653203,0.0107887044605393,1.96703070354875,"AAAS"
"AACS",196.840706491003,0.786038413341643,0.165875312203399,4.73873057358764,2.1506122311224e-06,3.68409225679228e-05,4.4336695027656,"AACS"
"AADAT",45.7675320583506,0.0468031949703817,0.359021820557283,0.130363092966697,0.896279164908853,0.946970721773517,0.0236634482076714,"AADAT"
"AAGAB",482.119870933139,-0.0969670422876843,0.155703775425803,-0.622766159796118,0.533438199143692,0.71843416876593,0.143613020781715,"AAGAB"
"AAK1",23.6797947023256,1.02453818570801,0.433586189817862,2.36294007919945,0.0181306008212594,0.072734980523917,1.13825667311884,"AAK1"
"AAMP",555.777923169406,0.0655504094161007,0.175860417580227,0.372741122294883,0.709341127313535,0.840505620111948,0.0754593782680004,"AAMP"
"AARS",2517.7488529514,-0.213715552430858,0.128527573194999,-1.66279925091726,0.096352626644837,0.245017964333302,0.610802072677065,"AARS"
"AARS2",37.5446984011893,0.159301886615659,0.287994827788244,0.553141484654682,0.580166531796762,0.756228333175993,0.121347055204805,"AARS2"
"AASDH",33.403928973355,-0.243720835460727,0.335389319075363,-0.72668037292494,0.467421779539146,0.66841595530461,0.174953191905448,"AASDH"
"AASDHPPT",393.034416998645,0.134309262957803,0.109188643230182,1.23006623202254,0.218672303900754,0.422274958460954,0.37440467212632,"AASDHPPT"
"AASS",22.9019223900876,0.593020501824168,0.385901643633623,1.53671411253999,0.124363333655279,0.290300191056721,0.537152678343826,"AASS"
"AATF",563.115142752771,0.0119394949612297,0.183443381973672,0.0650854494328024,0.94810596553777,0.973333893716706,0.0117381532321998,"AATF"
"ABAT",251.805239020195,-0.367048784641315,0.189625804157818,-1.93564787382963,0.0529108427112793,0.160547672562906,0.794395985958042,"ABAT"
"ABCA1",390.680992547957,0.209127971268561,0.18595650084142,1.12460693937719,0.260755631833462,0.47105624024622,0.32692723858135,"ABCA1"
"ABCA10",7.87764626603676,1.11801321054958,0.603995802766771,1.85102811216271,0.0641655089015825,0.184412012983726,0.734210791511181,"ABCA10"
"ABCA2",479.300296124052,-1.00607628977593,0.215205373643104,-4.67495896010667,2.94012408962517e-06,4.87595579251358e-05,4.31194024053406,"ABCA2"
"ABCA3",33.6454392541794,-0.738600307128982,0.326487229524762,-2.26226400402888,0.0236810969826783,0.0890403767983756,1.0504130108352,"ABCA3"
"ABCA5",108.732141834766,0.301829595475018,0.321740305534917,0.938115586647449,0.348185012562739,0.561496844482959,0.250652680057001,"ABCA5"
"ABCA6",42.2483394743972,-1.71267326372254,1.0691213904177,-1.60194462394342,0.109167855479458,0.26625280811443,0.57470580311313,"ABCA6"
"ABCA8",46.3102572036793,-1.65457562284067,2.05387594125767,-0.80558693424663,0.420481061777833,0.63021265305307,0.200512881555604,"ABCA8"
"ABCA9",54.7997357402858,-1.98126753105701,1.1107651299296,-1.78369619073529,0.0744730454677268,0.204186300812261,0.689973398787882,"ABCA9"
"ABCB10",231.770809498944,0.204460761292084,0.161116367526155,1.26902539097335,0.204432008253022,0.40395516281243,0.393666836928474,"ABCB10"
"ABCB6",171.531883822851,-0.55787343425577,0.139896258739632,-3.98776521460847,6.66986226150386e-05,0.000760048633865672,3.11915861726694,"ABCB6"
"ABCB7",163.744062265531,0.0462880158081923,0.221512797642376,0.20896316736933,0.834476992020432,0.913403795275006,0.0393371881925962,"ABCB7"
"ABCB8",31.6664635956269,0.0654014151544082,0.302650954470975,0.21609518882479,0.828913549882597,0.910495393729283,0.0407222469948325,"ABCB8"
"ABCC1",302.761067148962,0.158824691433052,0.162733053047601,0.975982988450385,0.329072894541747,0.542970275993882,0.265223944490657,"ABCC1"
"ABCC10",197.269963462737,0.105971264983428,0.161830612101081,0.654828302306841,0.512578306248045,0.702430533645339,0.153396618534942,"ABCC10"
"ABCC3",64.1779341826816,0.858388258073159,0.475109962338994,1.80671492099905,0.0708067400075561,0.197221343954208,0.705046086048331,"ABCC3"
"ABCC4",38.7559844243612,0.599490420020132,0.310291849029637,1.93202116618562,0.0533568934475587,0.161561790546148,0.791661342305699,"ABCC4"
"ABCC5",121.307414029087,-0.047211465883328,0.182100106141744,-0.259261056369618,0.795433824841513,0.890573546076755,0.0503302094557751,"ABCC5"
"ABCC9",20.4164509752643,0.0887557186027731,0.494280090329859,0.179565635636956,0.857493584893877,0.925453833072697,0.0336452414619912,"ABCC9"
"ABCD1",331.791322889343,-0.147535657670295,0.167530815840227,-0.880647879199719,0.378508435343521,0.590784783803381,0.228570698863351,"ABCD1"
"ABCD3",339.41045177509,-0.180541292483653,0.194343046171155,-0.928982518492861,0.352898146066046,0.56647825426664,0.24681675699788,"ABCD3"
"ABCD4",119.097301411727,0.00541142549037753,0.194437861439984,0.0278311304717155,0.977796837047992,0.988909536861253,0.00484343483243577,"ABCD4"
"ABCE1",1066.03875484918,-0.0737644709754155,0.139266484720443,-0.529664198270582,0.59634477474567,0.767623950241294,0.114851483525718,"ABCE1"
"ABCF1",683.101974419859,-0.02947782594946,0.117050334293092,-0.251838887325584,0.801165598067056,0.894372379674411,0.0484816212870484,"ABCF1"
"ABCF2",1019.17844560194,0.056054861282414,0.10169652266615,0.551197423597572,0.5814983460307,0.75671646735499,0.121066814990293,"ABCF2"
"ABCF3",330.06200113833,-0.104884747843345,0.158261838683884,-0.662729238555383,0.507503980259938,0.69930138610327,0.155335610932641,"ABCF3"
"ABCG2",12.1032197653314,0.499789957914719,0.527423994746203,0.947605651038342,0.343330248250435,0.556880117396636,0.254238287693063,"ABCG2"
"ABCG4",4.45207440840863,0.224610376601412,0.848303151459917,0.264776072344964,0.791181970716844,0.887494433893573,0.0518343620327415,"ABCG4"
"ABHD1",5.58721665779509,-0.0648463471906787,0.717283801904125,-0.0904054253261198,0.927965045563129,0.961817235972871,0.0169074445414412,"ABHD1"
"ABHD10",62.5857044260271,0.491408559230685,0.242599373387681,2.02559698472674,0.0428061007896765,0.137763594670142,0.860865533681948,"ABHD10"
"ABHD11",39.6083587335654,0.814962793393442,0.32106877822946,2.53828104335641,0.011139848574643,0.0502917747109402,1.29850303859723,"ABHD11"
"ABHD12",758.283833817777,-0.218809762714259,0.132113920983699,-1.65622033685047,0.0976772062484128,0.24722581966943,0.606906174544425,"ABHD12"
"ABHD13",59.6874795913302,-0.116800172676354,0.259902210955122,-0.44940045814586,0.653142800878472,0.804819409291987,0.0943015585719896,"ABHD13"
"ABHD14A",62.3137075997676,-0.488084859747443,0.264804532499188,-1.84318922014275,0.0653013882536454,0.186727215762898,0.728792378386007,"ABHD14A"
"ABHD14B",508.664987972045,-0.428956726606561,0.160419866858535,-2.67396261452351,0.00749608075761086,0.0369601979561837,1.43226571139544,"ABHD14B"
"ABHD15",150.020438002429,-0.59658675195275,0.286403806998898,-2.08302661268412,0.0372487978492051,0.124437016864174,0.905050408805356,"ABHD15"
"ABHD16A",312.492311440254,-0.212842435803103,0.126861841501916,-1.67774985199068,0.0933959429045633,0.23982650816549,0.620102815758684,"ABHD16A"
"ABHD16B",23.3761527295552,-0.586729769284204,0.331188047059792,-1.77159101752931,0.0764624718413775,0.208071381097026,0.681787650140934,"ABHD16B"
"ABHD2",832.306152080052,0.261086128745569,0.092301605851953,2.8286195709784,0.00467492338223191,0.0254730926395671,1.59391832497111,"ABHD2"
"ABHD3",43.5019969140405,0.804900229877538,0.272730774457999,2.95126294961442,0.00316477367345228,0.0186529407535025,1.72925268919911,"ABHD3"
"ABHD4",573.746631427685,-0.652606987472377,0.275735974190729,-2.36678217047211,0.0179434902931203,0.0721401548519326,1.14182292978495,"ABHD4"
"ABHD5",433.052656676797,0.27559226941826,0.216122188154303,1.27516879119092,0.202249505030564,0.400594041355736,0.397295514916555,"ABHD5"
"ABHD6",87.6325937663457,0.15990556972711,0.251480841049624,0.635855872994938,0.524870366265784,0.712355376011244,0.147303293811647,"ABHD6"
"ABHD8",82.7537500053414,0.135527247078109,0.222252118647503,0.609790574338948,0.542000546133409,0.724711137477024,0.139835064323165,"ABHD8"
"ABI1",1010.2705049194,0.0794373324952149,0.0986888612280271,0.804927035399362,0.42086178619418,0.630255345683936,0.200483462047883,"ABI1"
"ABI2",206.613520800803,0.258244971378318,0.212684417206441,1.21421670082982,0.224664984678438,0.429635848034865,0.366899489053839,"ABI2"
"ABI3BP",3161.90425415059,-2.1754442297946,1.33062873703393,-1.63489947965788,0.102070121588446,0.253931699794328,0.595283080195961,"ABI3BP"
